,importance
Subflow Fwd Byts,0.06486695973654816
Flow IAT Min,0.06134355130234073
Src Port,0.061269606683234716
Fwd Seg Size Avg,0.052265265159677894
Fwd Pkt Len Max,0.04869335702877778
Fwd IAT Tot,0.04203755228423489
Flow Duration,0.04043326279655012
Fwd Pkt Len Mean,0.04014770473401635
Flow IAT Mean,0.038378164540880194
Flow IAT Max,0.032696817671504216
Fwd IAT Min,0.03255351767382487
Init Fwd Win Byts,0.02853052432386448
TotLen Fwd Pkts,0.0277045966928366
Fwd Pkt Len Std,0.026683604513283048
Fwd IAT Mean,0.026574183772307945
Pkt Len Std,0.02560392099587637
Bwd Pkt Len Std,0.025371728634278005
Bwd Pkt Len Mean,0.02490313311085246
Fwd IAT Std,0.022078820259213053
Fwd IAT Max,0.019658085431917185
Subflow Fwd Pkts,0.018766651538186227
Idle Max,0.018760906021108695
Idle Mean,0.017544644300866837
Idle Min,0.016520595136835983
Bwd Seg Size Avg,0.015781026719966895
Fwd Header Len,0.012943319336413621
Subflow Bwd Pkts,0.01251751367000735
Pkt Size Avg,0.012507439964119772
Init Bwd Win Byts,0.012239712738134432
Tot Fwd Pkts,0.011427884926773792
Flow IAT Std,0.00875248071562966
Pkt Len Var,0.008564617642266457
Pkt Len Max,0.008049390410538183
Fwd Act Data Pkts,0.0073579897301172615
Bwd Header Len,0.007278523975765984
Bwd Pkt Len Max,0.007212740023500619
Pkt Len Mean,0.007136999163703632
ACK Flag Cnt,0.006959160289843355
Bwd IAT Std,0.006755155970957046
TotLen Bwd Pkts,0.004825108025254728
Tot Bwd Pkts,0.00472539820259295
Bwd IAT Tot,0.004501327625224928
Bwd IAT Max,0.004251381144593345
Fwd Seg Size Min,0.0036365517833626664
Active Max,0.003359106977829478
Fwd Pkts/s,0.002491471030310721
Active Mean,0.002151651781739335
RST Flag Cnt,0.0018872176486763432
Protocol,0.0016834940482874448
Bwd IAT Mean,0.0013638414076410127
Active Min,0.001297208772388639
ECE Flag Cnt,0.0011664093354291634
URG Flag Cnt,0.0009988942054000346
PSH Flag Cnt,0.0007321922087034089
Subflow Bwd Byts,0.0005265336191397384
Pkt Len Min,0.00048409235192099634
Idle Std,0.00048187876391274473
Down/Up Ratio,0.0003791340491348133
Fwd Pkt Len Min,6.44710817331911e-05
Fwd PSH Flags,5.911786420175203e-05
Bwd Pkts/s,4.618069620185644e-05
Bwd IAT Min,1.1300288803289726e-05
SYN Flag Cnt,2.3831921693566476e-06
FIN Flag Cnt,1.4498050420545523e-06
Bwd Pkt Len Min,9.351304524685454e-07
Active Std,1.5933909866597503e-07
Bwd Pkts/b Avg,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Fwd URG Flags,0.0
CWE Flag Count,0.0
Fwd Blk Rate Avg,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
