,importance
Init Fwd Win Byts,0.2492581715886951
Subflow Fwd Byts,0.056352343445487736
RST Flag Cnt,0.049294882097765995
TotLen Fwd Pkts,0.04598777378109918
ECE Flag Cnt,0.038610140435167244
Fwd Pkts/s,0.037789985487289214
Bwd Pkt Len Max,0.03057289087285198
Pkt Len Std,0.027214755388617114
Fwd Pkt Len Max,0.025765581126225526
Pkt Len Var,0.025696724404338935
Bwd Seg Size Avg,0.023585717654477135
Pkt Len Max,0.023455944366690996
Fwd Seg Size Avg,0.023247985248083313
Fwd Act Data Pkts,0.021891551599618544
Bwd Pkt Len Mean,0.01814350024703137
TotLen Bwd Pkts,0.017915954282471183
Bwd Pkt Len Std,0.017782785588599612
Pkt Size Avg,0.017526118922411064
Tot Fwd Pkts,0.01656039927777127
Pkt Len Mean,0.016556789455327844
Subflow Fwd Pkts,0.015738933834854352
Fwd Header Len,0.015149272223604135
Bwd IAT Mean,0.014147784331636637
Fwd Pkt Len Mean,0.014055489332638959
Fwd Pkt Len Std,0.012911273444317334
Subflow Bwd Byts,0.012490683126777011
Bwd Header Len,0.012201740058849327
Bwd IAT Tot,0.01064054509140303
Tot Bwd Pkts,0.010253974754739544
Init Bwd Win Byts,0.009462697908703986
Subflow Bwd Pkts,0.009260932101404174
Bwd IAT Max,0.008945086453997646
Down/Up Ratio,0.008355184938661844
Flow IAT Max,0.007397027188162809
Bwd IAT Min,0.006940311664558101
Bwd Pkts/s,0.006712397116338842
Flow IAT Std,0.006702620256057732
Fwd IAT Std,0.005906603058688708
Bwd IAT Std,0.004942706483837736
Flow Duration,0.0040660692941478565
Flow IAT Mean,0.0040561908101510846
Fwd IAT Max,0.0032156811350500434
Fwd IAT Tot,0.0024131991599493775
Fwd IAT Mean,0.0018983136322900378
Idle Mean,0.0015894873868574238
ACK Flag Cnt,0.001285099054535087
URG Flag Cnt,0.0012436295358170548
Active Mean,0.0011447557060020443
Active Max,0.0009033375658401161
Idle Min,0.0007277438964236765
Idle Max,0.0004906439331991305
FIN Flag Cnt,0.0003492818377699069
Active Min,0.0002888260233689526
PSH Flag Cnt,0.00025056784687576747
Idle Std,0.000211867934681686
Fwd Seg Size Min,0.0001649277082760058
Fwd IAT Min,0.00013402634299192152
Protocol,9.900148388823891e-05
Flow IAT Min,3.479021989742009e-05
Fwd PSH Flags,4.0059786860874005e-06
Fwd Pkt Len Min,2.4819793710465575e-06
Pkt Len Min,8.123695023331993e-07
Bwd Pkt Len Min,5.179975981557386e-10
SYN Flag Cnt,7.177983224419688e-12
Fwd Byts/b Avg,0.0
Bwd Byts/b Avg,0.0
Fwd URG Flags,0.0
Active Std,0.0
Bwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
Bwd PSH Flags,0.0
Fwd Blk Rate Avg,0.0
Bwd URG Flags,0.0
CWE Flag Count,0.0
Fwd Pkts/b Avg,0.0
