,importance
Flow Duration,0.06377774130097989
Flow IAT Max,0.06230057926216591
Fwd Pkts/s,0.05759030331604735
Flow IAT Mean,0.05677580977052487
Bwd Pkts/s,0.056257783249111196
Fwd IAT Tot,0.041376841518556313
Fwd IAT Max,0.03895314526559138
Flow IAT Min,0.03666195197550259
Flow IAT Std,0.036514450713347954
Fwd IAT Mean,0.03645623217342722
Bwd IAT Tot,0.03222497209335006
Fwd IAT Std,0.029417787543567588
Fwd IAT Min,0.026940094180783962
Bwd IAT Max,0.02630567790708382
Bwd IAT Mean,0.025438922085601723
Bwd IAT Std,0.022128144869326974
Init Fwd Win Byts,0.019406542812480096
Bwd IAT Min,0.01777786210653531
Idle Max,0.015162048203349529
Pkt Size Avg,0.013941854066173638
Pkt Len Mean,0.013861012090292031
Active Max,0.01295830253171607
Active Min,0.01285332928292501
Pkt Len Var,0.012818227288340029
Pkt Len Std,0.012800792263272315
Active Mean,0.01270218708285125
Idle Min,0.012567014585948251
Idle Mean,0.012222951074507526
Fwd Pkt Len Mean,0.011686508492191251
Fwd Seg Size Avg,0.0116543537880962
Init Bwd Win Byts,0.011630254313241429
Bwd Pkt Len Mean,0.010921493423500137
Bwd Seg Size Avg,0.010899110673435197
Fwd Pkt Len Max,0.010249240324102116
Idle Std,0.009140481067878806
Fwd Pkt Len Std,0.007767167106689046
Active Std,0.007582454475162688
Pkt Len Max,0.006999176291770303
Bwd Pkt Len Std,0.006952710711715185
Subflow Bwd Byts,0.006832162371512803
TotLen Bwd Pkts,0.006799470589963991
Bwd Pkt Len Max,0.006356425950543805
Bwd Header Len,0.005498427468845132
Fwd Header Len,0.00508862532134843
Bwd Pkt Len Min,0.004892877422700608
Fwd Pkt Len Min,0.004123165514925658
Pkt Len Min,0.004092855239104658
Subflow Fwd Byts,0.0038296904419138442
Subflow Fwd Pkts,0.003804110837984213
TotLen Fwd Pkts,0.0037827613679863713
Tot Fwd Pkts,0.0036267723585950446
Subflow Bwd Pkts,0.0033671588627580936
Tot Bwd Pkts,0.0033202976658187693
Fwd Act Data Pkts,0.0023403531578506578
Fwd Seg Size Min,0.002240414918137141
PSH Flag Cnt,0.001470029564705531
Down/Up Ratio,0.0011761985497411292
ECE Flag Cnt,0.0007869064739883927
ACK Flag Cnt,0.0007770157455412707
RST Flag Cnt,0.0006835376406839464
URG Flag Cnt,0.0004280339299042942
Protocol,0.00025678231453182517
SYN Flag Cnt,0.0001808743090700047
Fwd PSH Flags,0.00017781974613315
Fwd URG Flags,0.00014851573318995409
CWE Flag Count,0.00012372739436653115
FIN Flag Cnt,0.00011947782701252341
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Fwd Blk Rate Avg,0.0
Bwd URG Flags,0.0
Bwd Pkts/b Avg,0.0
Bwd PSH Flags,0.0
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
