13:02:02 [process_data.py:23 -           read_files()] INFO | Current file iteration 0 - ../Datasets/test/Friday-16-02-2018_TrafficForML_CICFlowMeter.csv
13:02:08 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 0
13:02:09 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 1
13:02:13 [process_data.py:36 -           read_files()] INFO | All files read, new dataframe created - dataframe shape: (1048574, 80) 
13:09:51 [process_data.py:23 -           read_files()] INFO | Current file iteration 0 - ../Datasets/test/Friday-16-02-2018_TrafficForML_CICFlowMeter.csv
13:09:57 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 0
13:09:58 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 1
13:10:01 [process_data.py:36 -           read_files()] INFO | All files read, new dataframe created - dataframe shape: (1048574, 80) 
13:10:35 [process_data.py:23 -           read_files()] INFO | Current file iteration 0 - ../Datasets/test/Friday-16-02-2018_TrafficForML_CICFlowMeter.csv
13:10:42 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 0
13:10:43 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 1
13:10:46 [process_data.py:36 -           read_files()] INFO | All files read, new dataframe created - dataframe shape: (1048574, 80) 
13:11:27 [process_data.py:23 -           read_files()] INFO | Current file iteration 0 - ../Datasets/Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv
13:11:31 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 0
13:11:31 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 1
13:11:32 [process_data.py:23 -           read_files()] INFO | Current file iteration 1 - ../Datasets/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv
13:11:34 [process_data.py:28 -           read_files()] INFO | 1: Chunk process 0
13:11:34 [process_data.py:23 -           read_files()] INFO | Current file iteration 2 - ../Datasets/Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv
13:11:38 [process_data.py:28 -           read_files()] INFO | 2: Chunk process 0
13:11:39 [process_data.py:28 -           read_files()] INFO | 2: Chunk process 1
13:11:40 [process_data.py:23 -           read_files()] INFO | Current file iteration 3 - ../Datasets/Friday-16-02-2018_TrafficForML_CICFlowMeter.csv
13:11:46 [process_data.py:28 -           read_files()] INFO | 3: Chunk process 0
13:11:47 [process_data.py:28 -           read_files()] INFO | 3: Chunk process 1
13:11:47 [process_data.py:23 -           read_files()] INFO | Current file iteration 4 - ../Datasets/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv
13:11:52 [process_data.py:28 -           read_files()] INFO | 4: Chunk process 0
13:11:53 [process_data.py:23 -           read_files()] INFO | Current file iteration 5 - ../Datasets/Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv
13:11:57 [process_data.py:28 -           read_files()] INFO | 5: Chunk process 0
13:11:58 [process_data.py:28 -           read_files()] INFO | 5: Chunk process 1
13:11:59 [process_data.py:23 -           read_files()] INFO | Current file iteration 6 - ../Datasets/merged_csv.csv
13:12:03 [process_data.py:28 -           read_files()] INFO | 6: Chunk process 0
13:12:10 [process_data.py:28 -           read_files()] INFO | 6: Chunk process 1
13:12:15 [process_data.py:28 -           read_files()] INFO | 6: Chunk process 2
13:12:23 [process_data.py:28 -           read_files()] INFO | 6: Chunk process 3
13:12:30 [process_data.py:28 -           read_files()] INFO | 6: Chunk process 4
13:21:46 [process_data.py:23 -           read_files()] INFO | Current file iteration 0 - ../Datasets/Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv
13:21:51 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 0
13:21:51 [process_data.py:28 -           read_files()] INFO | 0: Chunk process 1
13:21:52 [process_data.py:23 -           read_files()] INFO | Current file iteration 1 - ../Datasets/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv
13:21:54 [process_data.py:28 -           read_files()] INFO | 1: Chunk process 0
13:21:54 [process_data.py:23 -           read_files()] INFO | Current file iteration 2 - ../Datasets/Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv
13:21:58 [process_data.py:28 -           read_files()] INFO | 2: Chunk process 0
13:21:59 [process_data.py:28 -           read_files()] INFO | 2: Chunk process 1
13:22:00 [process_data.py:23 -           read_files()] INFO | Current file iteration 3 - ../Datasets/Friday-16-02-2018_TrafficForML_CICFlowMeter.csv
