,importance
Fwd Pkts/s,0.13788901130807177
Init Fwd Win Byts,0.11676004063655825
Flow IAT Max,0.05799388677433031
Flow IAT Mean,0.04742227806597661
Bwd Seg Size Avg,0.04454549479515183
Pkt Size Avg,0.043078526322292504
Flow Duration,0.0415200008680859
Bwd Pkt Len Mean,0.0392656107267591
Fwd IAT Tot,0.027876257372080097
Subflow Fwd Pkts,0.025559394169490646
Fwd IAT Mean,0.025107078678350443
Fwd IAT Max,0.02284509331983735
Fwd Pkt Len Mean,0.02236738340348334
Fwd Header Len,0.021814484177832952
Fwd Seg Size Avg,0.021219432337076287
Bwd Pkts/s,0.020984441003141056
Bwd Pkt Len Max,0.02054371770192468
TotLen Fwd Pkts,0.02008998277333088
Fwd Pkt Len Max,0.02003739840654822
Subflow Fwd Byts,0.01838806080158986
Pkt Len Mean,0.016811250670023627
Fwd Pkt Len Min,0.012809091245414905
Tot Fwd Pkts,0.012188443106119218
Subflow Bwd Pkts,0.011621435136493068
RST Flag Cnt,0.011465386893174648
Bwd Pkt Len Std,0.011249830372857423
Bwd Header Len,0.009288854743023177
Fwd Pkt Len Std,0.008458739880515466
Pkt Len Var,0.0079133166228068
Tot Bwd Pkts,0.00786621388880606
Bwd IAT Mean,0.007592171587057619
Bwd IAT Std,0.006701327380402907
Flow IAT Min,0.006331159303760823
ECE Flag Cnt,0.0062256295085822205
Flow IAT Std,0.006011903042222045
Bwd IAT Tot,0.005895130108264089
Pkt Len Max,0.005526835613040637
Subflow Bwd Byts,0.0051756492897771
Fwd IAT Min,0.00498167587527785
Pkt Len Min,0.004753932394197336
Fwd IAT Std,0.004748032509401294
Pkt Len Std,0.004744041751265311
Init Bwd Win Byts,0.0038595638433232436
TotLen Bwd Pkts,0.003191711993585472
ACK Flag Cnt,0.0022876964806075283
Bwd Pkt Len Min,0.0022711781343877514
Protocol,0.0022422107383655793
Fwd Seg Size Min,0.002196592761736081
Bwd IAT Max,0.002089409395028401
Down/Up Ratio,0.0019247755597261718
Idle Min,0.0013633900092633977
Idle Max,0.0013549205233829764
Idle Mean,0.0010838880478551214
Fwd Act Data Pkts,0.0006454065559741468
Fwd PSH Flags,0.0005965043042666056
SYN Flag Cnt,0.0005683896479312216
FIN Flag Cnt,0.0004920975856295561
URG Flag Cnt,3.946474878813149e-05
PSH Flag Cnt,3.0283524189985565e-05
Active Max,2.7436797289525907e-05
Active Mean,2.422855655916314e-05
Active Min,2.096132989652172e-05
Bwd IAT Min,1.2728637432573367e-05
Active Std,8.135627579801089e-06
Idle Std,1.4006328055344465e-06
Bwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Fwd Pkts/b Avg,0.0
Bwd PSH Flags,0.0
Bwd Pkts/b Avg,0.0
Bwd URG Flags,0.0
Fwd Blk Rate Avg,0.0
Fwd Byts/b Avg,0.0
Fwd URG Flags,0.0
CWE Flag Count,0.0
